t,distance,v_raw,a_raw,dt,velocity_raw,acceleration_raw,distance_f,velocity_f,acceleration_f
12.41,6,16.461936982903435,544.8997659537204,0.06099999999999994,16.393442622950836,541.9690047478261,5.857142857142857,-2.3419203747072683,0.6398689548376938
12.472,6,0.0,-264.6986115919164,0.06199999999999939,0.0,-264.4103648863064,5.857142857142857,0.0,37.77290926947244
12.534,6,0.0,0.0,0.062000000000001165,0.0,0.0,5.857142857142857,0.0,0.0
12.596,6,0.0,0.0,0.06199999999999939,0.0,0.0,5.857142857142857,0.0,0.0
12.659,6,0.0,0.0,0.06300000000000061,0.0,0.0,5.714285714285714,-2.2675736961450945,-35.99323327214401
12.721,6,0.0,0.0,0.06199999999999939,0.0,0.0,5.571428571428571,-2.3041474654378167,-0.5898995047213309
12.781,5,-16.49728998355897,-272.1605768016352,0.0600000000000005,-16.66666666666653,-277.77777777777317,5.428571428571429,-2.380952380952353,-1.2800819252422606
12.844,5,0.0,262.1466216355931,0.06299999999999883,0.0,264.5502645502673,5.285714285714286,-2.2675736961451727,1.7996616636060694
12.908,5,0.0,0.0,0.06400000000000006,0.0,0.0,5.142857142857143,-2.2321428571428474,0.5536068594113315
12.968,5,0.0,0.0,0.0600000000000005,0.0,0.0,4.857142857142857,-4.761904761904735,-42.16269841269778
13.028,5,0.0,0.0,0.0600000000000005,0.0,0.0,5.0,2.3809523809523676,119.0476190476174
13.088,5,0.0,0.0,0.05999999999999872,0.0,0.0,5.142857142857143,2.380952380952438,1.176836406102691e-12
13.148,4,-16.871493907957667,-284.6473066862527,0.0600000000000005,-16.66666666666653,-277.77777777777317,5.285714285714286,2.380952380952353,-1.4210854715201887e-12
13.21,6,32.09390267697617,785.745336268204,0.062000000000001165,32.25806451612843,789.1085674644199,5.285714285714286,0.0,-38.402457757295295
13.272,6,0.0,-519.5452802008988,0.06199999999999939,0.0,-520.2913631633669,5.285714285714286,0.0,0.0
13.333,6,0.0,0.0,0.06099999999999994,0.0,0.0,5.285714285714286,0.0,0.0
13.397,5,-15.616474670677857,-243.87428113992303,0.06400000000000006,-15.624999999999986,-244.14062499999957,5.571428571428571,4.464285714285708,69.75446428571414
13.456,5,0.0,262.7714144957929,0.058999999999999275,0.0,264.8305084745793,5.428571428571429,-2.42130750605329,-116.70496983625564
13.518,5,0.0,0.0,0.062000000000001165,0.0,0.0,5.142857142857143,-4.608294930875488,-35.27399072293801
13.58,6,16.143735806935837,260.6202058041423,0.06199999999999939,16.129032258064676,260.1456815816909,5.0,-2.3041474654378167,37.16366879738216
13.642,5,-16.133551816720132,-520.747292379433,0.06199999999999939,-16.129032258064676,-520.2913631633818,5.142857142857143,2.3041474654378167,74.327337594769
13.703,4,-16.31866160879292,-3.020744057309824,0.06099999999999994,-16.393442622950836,-4.3345961456747615,5.428571428571429,4.683840749414522,39.01136531109357
13.764,5,16.29260864836309,531.3226638258459,0.06099999999999994,16.393442622950836,537.4899220639624,5.857142857142857,7.025761124121776,38.39213729028288
13.827,6,15.91989767064066,-5.933520626065499,0.06300000000000061,15.873015873015719,-8.260742062462096,6.142857142857143,4.5351473922902175,-39.533551298913245
13.887,7,16.7931358928264,14.664408131975248,0.0600000000000005,16.66666666666653,13.227513227513397,6.714285714285714,9.52380952380944,83.14436885865302
13.947,8,16.69999522209304,-1.5554487562296304,0.05999999999999872,16.666666666667023,8.230453355888003e-12,7.571428571428571,14.285714285714583,79.36507936508741
14.008,8,0.0,-271.2572340961329,0.06099999999999994,0.0,-273.2240437158531,8.285714285714286,11.709601873536327,-42.23135101931572
14.067,9,16.8600324795395,284.2606952111268,0.05900000000000105,16.94915254237258,287.2737719046149,9.0,12.106537530266115,6.727722995420014
14.131,10,15.843285978159455,-16.108605588657117,0.06400000000000006,15.624999999999986,-20.689883474571772,9.571428571428571,8.928571428571416,-49.65572033897962
